Beach Name,Wave Height,Wave Period,Battery Life,Measurement ID
Calumet Beach,0.194,3,11.7,CalumetBeach201405292300
Montrose Beach,0.262,3,11.8,MontroseBeach201405292300
Calumet Beach,0.21,4,11.7,CalumetBeach201405302400
Montrose Beach,0.234,3,11.8,MontroseBeach201405302400
Calumet Beach,0.176,4,11.7,CalumetBeach201405300100
Montrose Beach,0.26,3,11.8,MontroseBeach201405300100
Montrose Beach,0.26,3,11.8,MontroseBeach201405300200
Calumet Beach,0.193,4,11.7,CalumetBeach201405300200
Calumet Beach,0.176,4,11.7,CalumetBeach201405300300
Montrose Beach,0.261,3,11.8,MontroseBeach201405300300
Montrose Beach,0.266,4,11.8,MontroseBeach201405300400
Calumet Beach,0.168,3,11.7,CalumetBeach201405300400
Calumet Beach,0.152,3,11.7,CalumetBeach201405300500
Montrose Beach,0.253,4,11.8,MontroseBeach201405300500
Montrose Beach,0.219,3,11.8,MontroseBeach201405300600
Calumet Beach,0.144,3,11.7,CalumetBeach201405300600
Calumet Beach,0.132,3,11.7,CalumetBeach201405300700
Montrose Beach,0.22,4,11.8,MontroseBeach201405300700
Calumet Beach,0.127,3,11.7,CalumetBeach201405300800
Montrose Beach,0.228,3,11.8,MontroseBeach201405300800
Montrose Beach,0.223,3,11.8,MontroseBeach201405300900
Calumet Beach,0.108,3,11.6,CalumetBeach201405300900
Montrose Beach,0.198,3,11.8,MontroseBeach201405301000
Calumet Beach,0.111,3,11.6,CalumetBeach201405301000
Calumet Beach,0.107,3,11.6,CalumetBeach201405301100
Montrose Beach,0.202,3,11.8,MontroseBeach201405301100
Montrose Beach,0.193,3,11.8,MontroseBeach201405301200
Calumet Beach,0.116,3,11.6,CalumetBeach201405301200
Calumet Beach,0.108,3,11.6,CalumetBeach201405301300
Montrose Beach,0.199,3,11.8,MontroseBeach201405301300
Montrose Beach,0.226,2,11.8,MontroseBeach201405301400
Calumet Beach,0.115,3,11.6,CalumetBeach201405301400
Calumet Beach,0.14,2,11.6,CalumetBeach201405301500
Montrose Beach,0.196,2,11.8,MontroseBeach201405301500
Montrose Beach,0.229,2,11.8,MontroseBeach201405301600
Calumet Beach,0.129,3,11.6,CalumetBeach201405301600
Montrose Beach,0.23,3,11.8,MontroseBeach201405301700
Calumet Beach,0.141,2,11.6,CalumetBeach201405301700
Calumet Beach,0.141,3,11.6,CalumetBeach201405301800
Montrose Beach,0.219,2,11.8,MontroseBeach201405301800
Montrose Beach,0.201,2,11.8,MontroseBeach201405301900
Calumet Beach,0.147,2,11.6,CalumetBeach201405301900
Montrose Beach,0.201,2,11.8,MontroseBeach201405302000
Calumet Beach,0.163,3,11.6,CalumetBeach201405302000
Montrose Beach,0.178,2,11.8,MontroseBeach201405302100
Calumet Beach,0.157,3,11.6,CalumetBeach201405302100
Calumet Beach,0.144,3,11.6,CalumetBeach201405302200
Montrose Beach,0.16,2,11.8,MontroseBeach201405302200
Calumet Beach,0.155,3,11.6,CalumetBeach201405302300
Montrose Beach,0.182,3,11.8,MontroseBeach201405302300
Montrose Beach,0.168,2,11.8,MontroseBeach201405312400
Calumet Beach,0.144,3,11.6,CalumetBeach201405312400
Calumet Beach,0.132,3,11.6,CalumetBeach201405310100
Montrose Beach,0.152,2,11.8,MontroseBeach201405310100
Montrose Beach,0.144,3,11.8,MontroseBeach201405310200
Calumet Beach,0.137,3,11.6,CalumetBeach201405310200
Montrose Beach,0.147,3,11.8,MontroseBeach201405310300
Calumet Beach,0.136,3,11.6,CalumetBeach201405310300
Montrose Beach,0.166,3,11.8,MontroseBeach201405310400
Calumet Beach,0.133,4,11.6,CalumetBeach201405310400
Montrose Beach,0.161,2,11.8,MontroseBeach201405310500
Calumet Beach,0.134,3,11.6,CalumetBeach201405310500
Montrose Beach,0.163,3,11.8,MontroseBeach201405310600
Calumet Beach,0.127,3,11.6,CalumetBeach201405310600
Montrose Beach,0.147,3,11.8,MontroseBeach201405310700
Calumet Beach,0.118,3,11.6,CalumetBeach201405310700
Montrose Beach,0.138,3,11.8,MontroseBeach201405310800
Calumet Beach,0.113,3,11.6,CalumetBeach201405310800
Montrose Beach,0.145,3,11.8,MontroseBeach201405310900
Calumet Beach,0.1,3,11.6,CalumetBeach201405310900
Montrose Beach,0.144,3,11.8,MontroseBeach201405311000
Calumet Beach,0.097,3,11.6,CalumetBeach201405311000
Montrose Beach,0.158,4,11.8,MontroseBeach201405311100
Calumet Beach,0.096,3,11.6,CalumetBeach201405311100
Montrose Beach,0.131,2,11.8,MontroseBeach201405311200
Calumet Beach,0.109,2,11.6,CalumetBeach201405311200
Montrose Beach,0.15,3,11.8,MontroseBeach201405311300
Calumet Beach,0.106,3,11.6,CalumetBeach201405311300
Calumet Beach,0.115,3,11.6,CalumetBeach201405311400
Montrose Beach,0.156,3,11.8,MontroseBeach201405311400
Calumet Beach,0.11,2,11.6,CalumetBeach201405311500
Montrose Beach,0.158,2,11.7,MontroseBeach201405311500
Montrose Beach,0.215,4,11.8,MontroseBeach201405311600
Calumet Beach,0.166,2,11.6,CalumetBeach201405311600
Montrose Beach,0.243,2,11.8,MontroseBeach201405311700
Calumet Beach,0.158,2,11.6,CalumetBeach201405311700
Calumet Beach,0.226,3,11.6,CalumetBeach201405311800
Montrose Beach,0.218,2,11.8,MontroseBeach201405311800
Calumet Beach,0.18,3,11.6,CalumetBeach201405311900
Montrose Beach,0.205,3,11.8,MontroseBeach201405311900
Calumet Beach,0.156,3,11.6,CalumetBeach201405312000
Montrose Beach,0.211,3,11.8,MontroseBeach201405312000
Montrose Beach,0.22,3,11.8,MontroseBeach201405312100
Calumet Beach,0.178,3,11.6,CalumetBeach201405312100
Calumet Beach,0.177,3,11.6,CalumetBeach201405312200
Montrose Beach,0.2,3,11.8,MontroseBeach201405312200
Calumet Beach,0.163,3,11.6,CalumetBeach201405312300
Montrose Beach,0.204,3,11.8,MontroseBeach201405312300
Calumet Beach,0.173,3,11.6,CalumetBeach201406012400
Montrose Beach,0.194,2,11.7,MontroseBeach201406012400
Calumet Beach,0.16,3,11.6,CalumetBeach201406010100
Montrose Beach,0.191,3,11.8,MontroseBeach201406010100
Montrose Beach,0.192,3,11.7,MontroseBeach201406010200
Calumet Beach,0.17,3,11.6,CalumetBeach201406010200
Calumet Beach,0.183,3,11.6,CalumetBeach201406010300
Montrose Beach,0.186,3,11.7,MontroseBeach201406010300
Montrose Beach,0.176,3,11.7,MontroseBeach201406010400
Calumet Beach,0.17,3,11.6,CalumetBeach201406010400
Calumet Beach,0.174,3,11.6,CalumetBeach201406010500
Montrose Beach,0.162,3,11.7,MontroseBeach201406010500
Calumet Beach,0.172,3,11.6,CalumetBeach201406010600
Montrose Beach,0.154,3,11.7,MontroseBeach201406010600
Calumet Beach,0.169,3,11.6,CalumetBeach201406010700
Montrose Beach,0.152,6,11.7,MontroseBeach201406010700
Calumet Beach,0.168,3,11.6,CalumetBeach201406010800
Montrose Beach,0.151,3,11.7,MontroseBeach201406010800
Calumet Beach,0.151,3,11.6,CalumetBeach201406010900
Montrose Beach,0.16,3,11.7,MontroseBeach201406010900
Montrose Beach,0.163,3,11.7,MontroseBeach201406011000
Calumet Beach,0.127,3,11.6,CalumetBeach201406011000
Montrose Beach,0.175,3,11.7,MontroseBeach201406011100
Calumet Beach,0.126,3,11.6,CalumetBeach201406011100
Montrose Beach,0.155,3,11.7,MontroseBeach201406011200
Calumet Beach,0.123,2,11.6,CalumetBeach201406011200
Montrose Beach,0.156,3,11.7,MontroseBeach201406011300
Calumet Beach,0.117,6,11.6,CalumetBeach201406011300
Montrose Beach,0.138,3,11.7,MontroseBeach201406011400
Calumet Beach,0.119,3,11.6,CalumetBeach201406011400
Montrose Beach,0.165,3,11.7,MontroseBeach201406011500
Calumet Beach,0.113,3,11.6,CalumetBeach201406011500
Montrose Beach,0.145,2,11.7,MontroseBeach201406011600
Calumet Beach,0.122,2,11.6,CalumetBeach201406011600
Montrose Beach,0.179,4,11.7,MontroseBeach201406011700
Calumet Beach,0.115,2,11.6,CalumetBeach201406011700
Calumet Beach,0.109,9,11.6,CalumetBeach201406011800
Montrose Beach,0.12,7,11.7,MontroseBeach201406011800
Calumet Beach,0.139,2,11.6,CalumetBeach201406011900
Montrose Beach,0.123,6,11.7,MontroseBeach201406011900
Calumet Beach,0.133,2,11.6,CalumetBeach201406012000
Montrose Beach,0.106,5,11.7,MontroseBeach201406012000
Calumet Beach,0.103,2,11.6,CalumetBeach201406012100
Montrose Beach,0.116,3,11.7,MontroseBeach201406012100
Calumet Beach,0.095,3,11.6,CalumetBeach201406012200
Montrose Beach,0.111,3,11.7,MontroseBeach201406012200
Calumet Beach,0.128,2,11.6,CalumetBeach201406012300
Montrose Beach,0.107,9,11.7,MontroseBeach201406012300
Montrose Beach,0.11,7,11.7,MontroseBeach201406022400
Calumet Beach,0.136,2,11.6,CalumetBeach201406022400
Calumet Beach,0.127,2,11.6,CalumetBeach201406020100
Montrose Beach,0.105,3,11.7,MontroseBeach201406020100
Calumet Beach,0.111,2,11.6,CalumetBeach201406020200
Montrose Beach,0.105,3,11.7,MontroseBeach201406020200
Calumet Beach,0.103,2,11.6,CalumetBeach201406020300
Montrose Beach,0.098,3,11.7,MontroseBeach201406020300
Calumet Beach,0.102,2,11.6,CalumetBeach201406020400
Montrose Beach,0.108,4,11.7,MontroseBeach201406020400
Calumet Beach,0.098,2,11.6,CalumetBeach201406020500
Montrose Beach,0.101,4,11.7,MontroseBeach201406020500
Calumet Beach,0.111,2,11.6,CalumetBeach201406020600
Montrose Beach,0.099,3,11.7,MontroseBeach201406020600
Calumet Beach,0.126,2,11.6,CalumetBeach201406020700
Montrose Beach,0.098,3,11.7,MontroseBeach201406020700
Calumet Beach,0.127,2,11.5,CalumetBeach201406020800
Montrose Beach,0.095,4,11.7,MontroseBeach201406020800
Calumet Beach,0.128,3,11.5,CalumetBeach201406020900
Montrose Beach,0.106,3,11.7,MontroseBeach201406020900
Calumet Beach,0.131,3,11.5,CalumetBeach201406021000
Montrose Beach,0.118,4,11.7,MontroseBeach201406021000
Calumet Beach,0.114,2,11.5,CalumetBeach201406021100
Montrose Beach,0.118,3,11.7,MontroseBeach201406021100
Calumet Beach,0.111,3,11.5,CalumetBeach201406021200
Montrose Beach,0.122,4,11.7,MontroseBeach201406021200
Calumet Beach,0.113,3,11.5,CalumetBeach201406021300
Montrose Beach,0.113,4,11.7,MontroseBeach201406021300
Calumet Beach,0.084,2,11.5,CalumetBeach201406021400
Montrose Beach,0.102,4,11.7,MontroseBeach201406021400
Calumet Beach,0.081,3,11.5,CalumetBeach201406021500
Montrose Beach,0.106,4,11.7,MontroseBeach201406021500
Calumet Beach,0.092,3,11.5,CalumetBeach201406021600
Montrose Beach,0.103,10,11.7,MontroseBeach201406021600
Calumet Beach,0.102,2,11.5,CalumetBeach201406021700
Montrose Beach,0.101,3,11.7,MontroseBeach201406021700
Calumet Beach,0.091,4,11.5,CalumetBeach201406021800
Montrose Beach,0.116,7,11.7,MontroseBeach201406021800
Calumet Beach,0.078,3,11.5,CalumetBeach201406021900
Montrose Beach,0.106,6,11.7,MontroseBeach201406021900
Calumet Beach,0.082,2,11.5,CalumetBeach201406022000
Montrose Beach,0.123,4,11.7,MontroseBeach201406022000
Calumet Beach,0.087,2,11.5,CalumetBeach201406022100
Montrose Beach,0.106,4,11.7,MontroseBeach201406022100
Calumet Beach,0.087,3,11.5,CalumetBeach201406022200
Montrose Beach,0.099,3,11.7,MontroseBeach201406022200
Calumet Beach,0.073,3,11.5,CalumetBeach201406022300
Montrose Beach,0.097,3,11.7,MontroseBeach201406022300
Calumet Beach,0.065,8,11.5,CalumetBeach201406032400
Montrose Beach,0.096,8,11.7,MontroseBeach201406032400
Calumet Beach,0.074,3,11.5,CalumetBeach201406030100
Montrose Beach,0.092,4,11.7,MontroseBeach201406030100
Calumet Beach,0.076,2,11.5,CalumetBeach201406030200
Montrose Beach,0.087,5,11.7,MontroseBeach201406030200
Calumet Beach,0.064,3,11.5,CalumetBeach201406030300
Montrose Beach,0.083,5,11.7,MontroseBeach201406030300
Calumet Beach,0.06,3,11.5,CalumetBeach201406030400
Montrose Beach,0.082,5,11.7,MontroseBeach201406030400
Calumet Beach,0.052,4,11.5,CalumetBeach201406030600
Calumet Beach,0.062,3,11.5,CalumetBeach201406030500
Montrose Beach,0.079,5,11.7,MontroseBeach201406030500
Ohio Street Beach,0.241,7,9.4,OhioStreetBeach201309030300
Montrose Beach,0.086,7,11.7,MontroseBeach201406030600
Calumet Beach,0.073,3,11.5,CalumetBeach201406030700
Montrose Beach,0.088,4,11.7,MontroseBeach201406030700
Calumet Beach,0.071,4,11.5,CalumetBeach201406030800
Montrose Beach,0.117,2,11.7,MontroseBeach201406030800
Calumet Beach,0.094,3,11.5,CalumetBeach201406031000
Montrose Beach,0.168,3,11.7,MontroseBeach201406031000
Calumet Beach,0.096,3,11.5,CalumetBeach201406031100
Montrose Beach,0.181,2,11.6,MontroseBeach201406031100
Calumet Beach,0.115,3,11.5,CalumetBeach201406031200
Montrose Beach,0.192,2,11.7,MontroseBeach201406031200
Calumet Beach,0.119,3,11.5,CalumetBeach201406031300
Montrose Beach,0.21,3,11.6,MontroseBeach201406031300
Calumet Beach,0.124,3,11.5,CalumetBeach201406031400
Montrose Beach,0.17,2,11.6,MontroseBeach201406031400
Calumet Beach,0.117,3,11.5,CalumetBeach201406031500
Montrose Beach,0.173,3,11.6,MontroseBeach201406031500
Calumet Beach,0.131,3,11.5,CalumetBeach201406031600
Montrose Beach,0.15,3,11.6,MontroseBeach201406031600
Calumet Beach,0.124,3,11.5,CalumetBeach201406031700
Montrose Beach,0.131,3,11.6,MontroseBeach201406031700
Calumet Beach,0.122,2,11.5,CalumetBeach201406031800
Montrose Beach,0.134,7,11.6,MontroseBeach201406031800
Calumet Beach,0.114,3,11.5,CalumetBeach201406031900
Montrose Beach,0.136,4,11.6,MontroseBeach201406031900
Calumet Beach,0.104,3,11.5,CalumetBeach201406032000
Montrose Beach,0.17,4,11.6,MontroseBeach201406032000
Calumet Beach,0.117,2,11.5,CalumetBeach201406032100
Montrose Beach,0.106,3,11.6,MontroseBeach201406032100
Calumet Beach,0.092,3,11.5,CalumetBeach201406032200
Montrose Beach,0.123,4,11.6,MontroseBeach201406032200
Calumet Beach,0.207,2,11.5,CalumetBeach201406040700
Montrose Beach,0.119,4,11.6,MontroseBeach201406040700
Calumet Beach,0.103,2,11.5,CalumetBeach201406032300
Montrose Beach,0.093,3,11.6,MontroseBeach201406032300
Calumet Beach,0.094,2,11.5,CalumetBeach201406042400
Montrose Beach,0.1,8,11.6,MontroseBeach201406042400
Calumet Beach,0.092,2,11.5,CalumetBeach201406040100
Montrose Beach,0.097,3,11.6,MontroseBeach201406040100
Calumet Beach,0.107,2,11.5,CalumetBeach201406040200
Montrose Beach,0.102,5,11.6,MontroseBeach201406040200
Calumet Beach,0.129,2,11.5,CalumetBeach201406040300
Montrose Beach,0.102,4,11.6,MontroseBeach201406040300
Calumet Beach,0.128,2,11.5,CalumetBeach201406040400
Montrose Beach,0.1,4,11.6,MontroseBeach201406040400
Calumet Beach,0.155,2,11.5,CalumetBeach201406040500
Montrose Beach,0.105,3,11.6,MontroseBeach201406040500
Calumet Beach,0.144,2,11.5,CalumetBeach201406040600
Montrose Beach,0.109,3,11.6,MontroseBeach201406040600
Calumet Beach,0.235,3,11.5,CalumetBeach201406040800
Montrose Beach,0.15,2,11.6,MontroseBeach201406040800
Calumet Beach,0.216,3,11.5,CalumetBeach201406040900
Montrose Beach,0.157,2,11.6,MontroseBeach201406040900
Calumet Beach,0.2,3,11.5,CalumetBeach201406041000
Montrose Beach,0.165,3,11.6,MontroseBeach201406041000
Calumet Beach,0.245,3,11.5,CalumetBeach201406041100
Montrose Beach,0.247,2,11.6,MontroseBeach201406041100
Calumet Beach,0.262,3,11.5,CalumetBeach201406041200
Montrose Beach,0.317,3,11.6,MontroseBeach201406041200
Calumet Beach,0.285,4,11.5,CalumetBeach201406041300
Montrose Beach,0.358,3,11.6,MontroseBeach201406041300
Calumet Beach,0.27,4,11.4,CalumetBeach201406041400
Montrose Beach,0.351,3,11.6,MontroseBeach201406041400
Calumet Beach,0.271,4,11.4,CalumetBeach201406041500
Montrose Beach,0.323,3,11.6,MontroseBeach201406041500
Calumet Beach,0.236,4,11.4,CalumetBeach201406041700
Montrose Beach,0.315,3,11.6,MontroseBeach201406041700
Calumet Beach,0.234,4,11.4,CalumetBeach201406041800
Montrose Beach,0.294,3,11.6,MontroseBeach201406041800
Calumet Beach,0.22,4,11.4,CalumetBeach201406041900
Montrose Beach,0.317,3,11.6,MontroseBeach201406041900
Calumet Beach,0.193,4,11.4,CalumetBeach201406042000
Montrose Beach,0.31,3,11.6,MontroseBeach201406042000
Calumet Beach,0.195,3,11.4,CalumetBeach201406042100
Montrose Beach,0.304,3,11.6,MontroseBeach201406042100
Calumet Beach,0.207,4,11.4,CalumetBeach201406042200
Montrose Beach,0.287,3,11.6,MontroseBeach201406042200
Calumet Beach,0.215,4,11.4,CalumetBeach201406042300
Montrose Beach,0.283,3,11.6,MontroseBeach201406042300
Calumet Beach,0.221,4,11.4,CalumetBeach201406052400
Montrose Beach,0.254,3,11.6,MontroseBeach201406052400
Calumet Beach,0.204,4,11.4,CalumetBeach201406050100
Montrose Beach,0.213,3,11.6,MontroseBeach201406050100
Calumet Beach,0.205,4,11.4,CalumetBeach201406050200
Montrose Beach,0.225,3,11.6,MontroseBeach201406050200
Calumet Beach,0.192,4,11.4,CalumetBeach201406050300
Montrose Beach,0.235,3,11.6,MontroseBeach201406050300
Calumet Beach,0.176,4,11.4,CalumetBeach201406050400
Montrose Beach,0.23,3,11.5,MontroseBeach201406050400
Calumet Beach,0.169,3,11.4,CalumetBeach201406050500
Montrose Beach,0.272,3,11.5,MontroseBeach201406050500
Calumet Beach,0.155,3,11.4,CalumetBeach201406050600
Montrose Beach,0.259,3,11.5,MontroseBeach201406050600
Calumet Beach,0.164,4,11.4,CalumetBeach201406050700
Montrose Beach,0.272,3,11.5,MontroseBeach201406050700
Calumet Beach,0.159,3,11.4,CalumetBeach201406050800
Montrose Beach,0.248,3,11.5,MontroseBeach201406050800
Calumet Beach,0.162,3,11.4,CalumetBeach201406050900
Montrose Beach,0.223,3,11.5,MontroseBeach201406050900
Calumet Beach,0.155,3,11.4,CalumetBeach201406051000
Montrose Beach,0.226,3,11.5,MontroseBeach201406051000
Calumet Beach,0.159,3,11.4,CalumetBeach201406051100
Montrose Beach,0.237,3,11.5,MontroseBeach201406051100
Calumet Beach,0.156,3,11.4,CalumetBeach201406051200
Montrose Beach,0.22,3,11.5,MontroseBeach201406051200
Calumet Beach,0.144,3,11.4,CalumetBeach201406051300
Montrose Beach,0.198,3,11.5,MontroseBeach201406051300
Calumet Beach,0.149,3,11.4,CalumetBeach201406051400
Montrose Beach,0.194,2,11.5,MontroseBeach201406051400
Ohio Street Beach,0.159,3,12.8,OhioStreetBeach201406051200
Calumet Beach,0.138,3,11.4,CalumetBeach201406051500
Montrose Beach,0.177,3,11.5,MontroseBeach201406051500
Calumet Beach,0.131,3,11.4,CalumetBeach201406051600
Montrose Beach,0.175,3,11.5,MontroseBeach201406051600
Calumet Beach,0.129,2,11.4,CalumetBeach201406051700
Montrose Beach,0.167,3,11.5,MontroseBeach201406051700
Calumet Beach,0.126,3,11.4,CalumetBeach201406051800
Montrose Beach,0.159,3,11.5,MontroseBeach201406051800
Calumet Beach,0.142,3,11.4,CalumetBeach201406051900
Montrose Beach,0.17,3,11.5,MontroseBeach201406051900
Calumet Beach,0.127,3,11.4,CalumetBeach201406052000
Montrose Beach,0.163,3,11.5,MontroseBeach201406052000
Calumet Beach,0.126,3,11.4,CalumetBeach201406052100
Montrose Beach,0.137,3,11.5,MontroseBeach201406052100
Calumet Beach,0.118,3,11.4,CalumetBeach201406052200
Montrose Beach,0.134,3,11.5,MontroseBeach201406052200
Calumet Beach,0.119,3,11.4,CalumetBeach201406052300
Montrose Beach,0.122,2,11.5,MontroseBeach201406052300
Calumet Beach,0.123,3,11.4,CalumetBeach201406062400
Montrose Beach,0.118,8,11.5,MontroseBeach201406062400
Calumet Beach,0.101,3,11.4,CalumetBeach201406060200
Calumet Beach,0.113,2,11.4,CalumetBeach201406060100
Montrose Beach,0.119,4,11.5,MontroseBeach201406060100
Montrose Beach,0.125,6,11.5,MontroseBeach201406060200
Calumet Beach,0.094,3,11.4,CalumetBeach201406060300
Montrose Beach,0.103,5,11.5,MontroseBeach201406060300
Calumet Beach,0.089,2,11.4,CalumetBeach201406060400
Montrose Beach,0.104,3,11.5,MontroseBeach201406060400
Calumet Beach,0.086,3,11.4,CalumetBeach201406060500
Montrose Beach,0.094,4,11.5,MontroseBeach201406060500
Calumet Beach,0.091,2,11.4,CalumetBeach201406060600
Montrose Beach,0.092,2,11.5,MontroseBeach201406060600
Calumet Beach,0.078,3,11.4,CalumetBeach201406060700
Montrose Beach,0.088,4,11.5,MontroseBeach201406060700
Calumet Beach,0.075,3,11.3,CalumetBeach201406060800
Montrose Beach,0.081,2,11.5,MontroseBeach201406060800
Calumet Beach,0.084,2,11.4,CalumetBeach201406060900
Montrose Beach,0.091,3,11.5,MontroseBeach201406060900
Calumet Beach,0.081,5,11.4,CalumetBeach201406061000
Montrose Beach,0.087,4,11.5,MontroseBeach201406061000
Calumet Beach,0.072,2,11.3,CalumetBeach201406061100
Montrose Beach,0.097,3,11.5,MontroseBeach201406061100
Calumet Beach,0.08,3,11.3,CalumetBeach201406061200
Montrose Beach,0.124,6,11.5,MontroseBeach201406061200
Calumet Beach,0.12,2,11.4,CalumetBeach201406061300
Montrose Beach,0.152,3,11.5,MontroseBeach201406061300
Calumet Beach,0.141,2,11.3,CalumetBeach201406061400
Montrose Beach,0.117,2,11.5,MontroseBeach201406061400
Calumet Beach,0.128,2,11.4,CalumetBeach201406061500
Montrose Beach,0.112,2,11.5,MontroseBeach201406061500
Calumet Beach,0.119,2,11.3,CalumetBeach201406061600
Montrose Beach,0.097,5,11.5,MontroseBeach201406061600
Ohio Street Beach,0.135,2,12.4,OhioStreetBeach201406061400
Calumet Beach,0.11,2,11.4,CalumetBeach201406061700
Montrose Beach,0.102,8,11.5,MontroseBeach201406061700
Ohio Street Beach,0.162,3,12.3,OhioStreetBeach201406061700
Calumet Beach,0.141,2,11.3,CalumetBeach201406061800
Montrose Beach,0.129,7,11.5,MontroseBeach201406061800
Ohio Street Beach,0.13,3,12.3,OhioStreetBeach201406061800
Calumet Beach,0.142,2,11.3,CalumetBeach201406061900
Montrose Beach,0.155,4,11.5,MontroseBeach201406061900
Ohio Street Beach,0.137,2,12.3,OhioStreetBeach201406061900
Calumet Beach,0.154,2,11.4,CalumetBeach201406062000
Montrose Beach,0.166,2,11.5,MontroseBeach201406062000
Ohio Street Beach,0.147,2,12.3,OhioStreetBeach201406062000
Calumet Beach,0.16,2,11.4,CalumetBeach201406062100
Montrose Beach,0.158,2,11.5,MontroseBeach201406062100
Ohio Street Beach,0.144,2,12.3,OhioStreetBeach201406062100
Calumet Beach,0.166,3,11.3,CalumetBeach201406062200
Montrose Beach,0.14,2,11.5,MontroseBeach201406062200
Ohio Street Beach,0.133,2,12.3,OhioStreetBeach201406062200
Calumet Beach,0.153,3,11.4,CalumetBeach201406062300
Montrose Beach,0.132,2,11.5,MontroseBeach201406062300
Ohio Street Beach,0.119,3,12.3,OhioStreetBeach201406062300
