Beach Name,Water Temperature,Turbidity,Transducer Depth,Measurement ID
Montrose Beach,16,1.7,1.438,MontroseBeach201406010200
Calumet Beach,18.6,1.37,1.523,CalumetBeach201406010200
Calumet Beach,18.2,1.45,1.502,CalumetBeach201406010300
Montrose Beach,15.7,1.16,1.386,MontroseBeach201406010300
Montrose Beach,15.4,0.86,1.419,MontroseBeach201406010400
Calumet Beach,17.9,1.56,1.473,CalumetBeach201406010400
Calumet Beach,17.8,1.65,1.477,CalumetBeach201406010500
Montrose Beach,15.3,0.62,1.399,MontroseBeach201406010500
Calumet Beach,17.7,1.5,1.471,CalumetBeach201406010600
Montrose Beach,15.1,0.54,1.385,MontroseBeach201406010600
Calumet Beach,17.7,1.44,1.448,CalumetBeach201406010700
Montrose Beach,15.1,0.49,1.381,MontroseBeach201406010700
Calumet Beach,17.8,1.38,1.418,CalumetBeach201406010800
Montrose Beach,15.2,0.43,1.362,MontroseBeach201406010800
Calumet Beach,18,1.39,1.466,CalumetBeach201406010900
Montrose Beach,15.3,0.36,1.391,MontroseBeach201406010900
Montrose Beach,15.6,0.33,1.358,MontroseBeach201406011000
Calumet Beach,18.2,1.43,1.446,CalumetBeach201406011000
Montrose Beach,15.8,0.33,1.362,MontroseBeach201406011100
Calumet Beach,18.2,1.34,1.443,CalumetBeach201406011100
Montrose Beach,16,0.4,1.364,MontroseBeach201406011200
Calumet Beach,18.5,1.31,1.462,CalumetBeach201406011200
Montrose Beach,16.2,0.35,1.363,MontroseBeach201406011300
Calumet Beach,18.8,1.29,1.403,CalumetBeach201406011300
Montrose Beach,16.3,0.32,1.359,MontroseBeach201406011400
Calumet Beach,18.9,1.27,1.449,CalumetBeach201406011400
Montrose Beach,16.3,0.36,1.321,MontroseBeach201406011500
Calumet Beach,18.8,1.19,1.419,CalumetBeach201406011500
Montrose Beach,16.3,0.43,1.319,MontroseBeach201406011600
Calumet Beach,19.1,1.31,1.409,CalumetBeach201406011600
Montrose Beach,16.3,0.49,1.328,MontroseBeach201406011700
Calumet Beach,19.2,1.44,1.392,CalumetBeach201406011700
Calumet Beach,18.7,1.25,1.423,CalumetBeach201406011800
Montrose Beach,16.4,0.5,1.309,MontroseBeach201406011800
Calumet Beach,18.3,1.12,1.428,CalumetBeach201406011900
Montrose Beach,16.2,0.53,1.327,MontroseBeach201406011900
Calumet Beach,18.3,1.14,1.412,CalumetBeach201406012000
Montrose Beach,16.1,0.55,1.349,MontroseBeach201406012000
Calumet Beach,18.3,1.11,1.39,CalumetBeach201406012100
Montrose Beach,16.2,0.55,1.315,MontroseBeach201406012100
Calumet Beach,18.1,1.06,1.386,CalumetBeach201406012200
Montrose Beach,16.3,0.44,1.327,MontroseBeach201406012200
Calumet Beach,18.1,1.07,1.428,CalumetBeach201406012300
Montrose Beach,16.4,0.43,1.279,MontroseBeach201406012300
Montrose Beach,16.1,0.44,1.365,MontroseBeach201406022400
Calumet Beach,18.1,1.07,1.366,CalumetBeach201406022400
Calumet Beach,18,1.03,1.37,CalumetBeach201406020100
Montrose Beach,16.2,0.44,1.257,MontroseBeach201406020100
Calumet Beach,18,1.04,1.314,CalumetBeach201406020200
Montrose Beach,16.1,0.43,1.243,MontroseBeach201406020200
Calumet Beach,18,1.06,1.333,CalumetBeach201406020300
Montrose Beach,16.2,0.44,1.248,MontroseBeach201406020300
Calumet Beach,17.9,1.02,1.429,CalumetBeach201406020400
Montrose Beach,16.3,0.42,1.311,MontroseBeach201406020400
Calumet Beach,17.8,1,1.302,CalumetBeach201406020500
Montrose Beach,16.3,0.48,1.323,MontroseBeach201406020500
Calumet Beach,17.8,0.96,1.402,CalumetBeach201406020600
Montrose Beach,16.4,0.39,1.388,MontroseBeach201406020600
Calumet Beach,18,0.99,1.36,CalumetBeach201406020700
Montrose Beach,16.4,0.42,1.285,MontroseBeach201406020700
Calumet Beach,18.1,0.98,1.366,CalumetBeach201406020800
Montrose Beach,16.1,0.36,1.228,MontroseBeach201406020800
Calumet Beach,18.2,1.01,1.27,CalumetBeach201406020900
Montrose Beach,16.2,0.42,1.273,MontroseBeach201406020900
Calumet Beach,18.2,0.99,1.255,CalumetBeach201406021000
Montrose Beach,16.6,0.39,1.181,MontroseBeach201406021000
Calumet Beach,18.3,0.97,1.291,CalumetBeach201406021100
Montrose Beach,16.5,0.37,1.184,MontroseBeach201406021100
Calumet Beach,18.4,0.96,1.274,CalumetBeach201406021200
Montrose Beach,16.8,0.36,1.205,MontroseBeach201406021200
Calumet Beach,18.5,0.92,1.276,CalumetBeach201406021300
Montrose Beach,17.7,0.39,1.186,MontroseBeach201406021300
Calumet Beach,18.7,0.94,1.365,CalumetBeach201406021400
Montrose Beach,17.9,0.6,1.259,MontroseBeach201406021400
Calumet Beach,18.8,0.92,1.32,CalumetBeach201406021500
Montrose Beach,17.4,0.38,1.282,MontroseBeach201406021500
Calumet Beach,18.7,0.84,1.363,CalumetBeach201406021600
Montrose Beach,17.3,0.35,1.272,MontroseBeach201406021600
Calumet Beach,18.4,0.79,1.322,CalumetBeach201406021700
Montrose Beach,17.3,0.3,1.272,MontroseBeach201406021700
Calumet Beach,18.4,0.76,1.328,CalumetBeach201406021800
Montrose Beach,17.2,0.29,1.308,MontroseBeach201406021800
Calumet Beach,18.5,0.77,1.336,CalumetBeach201406021900
Montrose Beach,17,0.29,1.25,MontroseBeach201406021900
Calumet Beach,18.3,0.75,1.372,CalumetBeach201406022000
Montrose Beach,16.8,0.31,1.316,MontroseBeach201406022000
Calumet Beach,18.2,0.92,1.364,CalumetBeach201406022100
Montrose Beach,16.9,0.33,1.242,MontroseBeach201406022100
Calumet Beach,18.1,0.87,1.352,CalumetBeach201406022200
Montrose Beach,16.8,0.34,1.332,MontroseBeach201406022200
Calumet Beach,18,0.81,1.306,CalumetBeach201406022300
Montrose Beach,16.5,0.3,1.208,MontroseBeach201406022300
Calumet Beach,17.9,0.86,1.309,CalumetBeach201406032400
Montrose Beach,16.3,0.31,1.241,MontroseBeach201406032400
Calumet Beach,17.8,1.06,1.298,CalumetBeach201406030100
Montrose Beach,16.1,0.31,1.192,MontroseBeach201406030100
Calumet Beach,17.7,0.9,1.289,CalumetBeach201406030200
Montrose Beach,16,0.27,1.3,MontroseBeach201406030200
Calumet Beach,17.6,0.86,1.395,CalumetBeach201406030300
Montrose Beach,16.1,0.29,1.28,MontroseBeach201406030300
Calumet Beach,17.6,0.89,1.367,CalumetBeach201406030400
Montrose Beach,15.8,0.27,1.243,MontroseBeach201406030400
Calumet Beach,17.4,0.87,1.433,CalumetBeach201406030600
Calumet Beach,17.5,0.91,1.3,CalumetBeach201406030500
Montrose Beach,15.7,0.28,1.216,MontroseBeach201406030500
Ohio Street Beach,21.9,4.97,1.039,OhioStreetBeach201309030300
Montrose Beach,15.6,0.28,1.291,MontroseBeach201406030600
Calumet Beach,17.4,0.81,1.386,CalumetBeach201406030700
Montrose Beach,15.6,0.25,1.287,MontroseBeach201406030700
Calumet Beach,17.6,0.79,1.332,CalumetBeach201406030800
Montrose Beach,15.6,0.25,1.29,MontroseBeach201406030800
Calumet Beach,17.9,0.96,1.358,CalumetBeach201406031000
Montrose Beach,15.6,0.26,1.28,MontroseBeach201406031000
Calumet Beach,18.2,0.92,1.402,CalumetBeach201406031100
Montrose Beach,15.7,0.24,1.309,MontroseBeach201406031100
Calumet Beach,18.4,0.88,1.395,CalumetBeach201406031200
Montrose Beach,15.9,0.21,1.255,MontroseBeach201406031200
Calumet Beach,18.6,1.05,1.453,CalumetBeach201406031300
Montrose Beach,16.2,0.19,1.34,MontroseBeach201406031300
Calumet Beach,18.6,0.88,1.384,CalumetBeach201406031400
Montrose Beach,16.5,0.18,1.307,MontroseBeach201406031400
Calumet Beach,19,0.83,1.371,CalumetBeach201406031500
Montrose Beach,17,0.15,1.308,MontroseBeach201406031500
Calumet Beach,20.5,0.79,1.419,CalumetBeach201406031600
Montrose Beach,19.7,1.41,1.291,MontroseBeach201406031600
Calumet Beach,20.3,0.84,1.404,CalumetBeach201406031700
Montrose Beach,17.7,0.43,1.257,MontroseBeach201406031700
Calumet Beach,19.8,0.77,1.323,CalumetBeach201406031800
Montrose Beach,16.9,0.25,1.329,MontroseBeach201406031800
Calumet Beach,20,0.83,1.371,CalumetBeach201406031900
Montrose Beach,16.4,0.2,1.317,MontroseBeach201406031900
Calumet Beach,20.2,0.89,1.358,CalumetBeach201406032000
Montrose Beach,16.3,0.2,1.287,MontroseBeach201406032000
Calumet Beach,20.2,0.86,1.374,CalumetBeach201406032100
Montrose Beach,16.2,0.21,1.279,MontroseBeach201406032100
Calumet Beach,20,0.88,1.369,CalumetBeach201406032200
Montrose Beach,16.1,0.19,1.266,MontroseBeach201406032200
Calumet Beach,18.6,0.92,1.368,CalumetBeach201406040700
Montrose Beach,15.7,0.21,1.296,MontroseBeach201406040700
Calumet Beach,19.9,0.87,1.413,CalumetBeach201406032300
Montrose Beach,16,0.24,1.239,MontroseBeach201406032300
Calumet Beach,19.7,0.89,1.337,CalumetBeach201406042400
Montrose Beach,16,0.19,1.245,MontroseBeach201406042400
Calumet Beach,19.4,0.76,1.373,CalumetBeach201406040100
Montrose Beach,16,0.27,1.331,MontroseBeach201406040100
Calumet Beach,19.2,0.74,1.389,CalumetBeach201406040200
Montrose Beach,16,0.27,1.279,MontroseBeach201406040200
Calumet Beach,19.1,0.75,1.384,CalumetBeach201406040300
Montrose Beach,15.9,0.26,1.28,MontroseBeach201406040300
Calumet Beach,19,0.77,1.375,CalumetBeach201406040400
Montrose Beach,15.8,0.29,1.316,MontroseBeach201406040400
Calumet Beach,18.9,0.83,1.384,CalumetBeach201406040500
Montrose Beach,15.8,0.3,1.321,MontroseBeach201406040500
Calumet Beach,18.9,0.9,1.392,CalumetBeach201406040600
Montrose Beach,15.7,0.22,1.338,MontroseBeach201406040600
Calumet Beach,18.5,1.37,1.384,CalumetBeach201406040800
Montrose Beach,15.7,0.21,1.311,MontroseBeach201406040800
Calumet Beach,18.5,1.52,1.406,CalumetBeach201406040900
Montrose Beach,15.7,0.17,1.305,MontroseBeach201406040900
Calumet Beach,18.4,1.83,1.389,CalumetBeach201406041000
Montrose Beach,15.7,0.19,1.313,MontroseBeach201406041000
Calumet Beach,18.4,1.96,1.379,CalumetBeach201406041100
Montrose Beach,15.7,0.22,1.333,MontroseBeach201406041100
Calumet Beach,18.4,2,1.409,CalumetBeach201406041200
Montrose Beach,15.7,0.63,1.29,MontroseBeach201406041200
Calumet Beach,18.4,2.04,1.415,CalumetBeach201406041300
Montrose Beach,15.8,2.47,1.273,MontroseBeach201406041300
Calumet Beach,18.4,2.69,1.342,CalumetBeach201406041400
Montrose Beach,15.8,2.38,1.377,MontroseBeach201406041400
Calumet Beach,18.3,2.62,1.398,CalumetBeach201406041500
Montrose Beach,16,3.51,1.31,MontroseBeach201406041500
Calumet Beach,18.4,2.9,1.436,CalumetBeach201406041700
Montrose Beach,16.2,2.7,1.372,MontroseBeach201406041700
Calumet Beach,18.6,3.69,1.429,CalumetBeach201406041800
Montrose Beach,16.2,3.15,1.362,MontroseBeach201406041800
Calumet Beach,18.6,3.47,1.516,CalumetBeach201406041900
Montrose Beach,16.2,4.13,1.357,MontroseBeach201406041900
Calumet Beach,18.6,4.65,1.391,CalumetBeach201406042000
Montrose Beach,16.2,4.02,1.386,MontroseBeach201406042000
Calumet Beach,18.4,4.25,1.376,CalumetBeach201406042100
Montrose Beach,16.1,3.78,1.361,MontroseBeach201406042100
Calumet Beach,18.3,4.36,1.428,CalumetBeach201406042200
Montrose Beach,16.1,3.63,1.337,MontroseBeach201406042200
Calumet Beach,18.2,3.9,1.374,CalumetBeach201406042300
Montrose Beach,16.1,3.99,1.354,MontroseBeach201406042300
Calumet Beach,18.1,3.72,1.419,CalumetBeach201406052400
Montrose Beach,16,2.85,1.358,MontroseBeach201406052400
Calumet Beach,18,2.41,1.412,CalumetBeach201406050100
Montrose Beach,16,3.25,1.411,MontroseBeach201406050100
Calumet Beach,18,2.6,1.453,CalumetBeach201406050200
Montrose Beach,16,3.27,1.382,MontroseBeach201406050200
Calumet Beach,17.9,2.41,1.417,CalumetBeach201406050300
Montrose Beach,15.9,3.56,1.386,MontroseBeach201406050300
Calumet Beach,17.8,2.62,1.438,CalumetBeach201406050400
Montrose Beach,15.9,2.93,1.374,MontroseBeach201406050400
Calumet Beach,17.8,2.73,1.482,CalumetBeach201406050500
Montrose Beach,15.7,3.76,1.388,MontroseBeach201406050500
Calumet Beach,17.7,2.74,1.431,CalumetBeach201406050600
Montrose Beach,15.6,2.88,1.382,MontroseBeach201406050600
Calumet Beach,17.7,3.04,1.464,CalumetBeach201406050700
Montrose Beach,15.6,3.6,1.471,MontroseBeach201406050700
Calumet Beach,17.7,2.92,1.451,CalumetBeach201406050800
Montrose Beach,15.7,3.27,1.368,MontroseBeach201406050800
Calumet Beach,17.9,2.82,1.413,CalumetBeach201406050900
Montrose Beach,15.8,3.11,1.432,MontroseBeach201406050900
Calumet Beach,18,2.69,1.428,CalumetBeach201406051000
Montrose Beach,16.1,2.82,1.363,MontroseBeach201406051000
Calumet Beach,18.3,2.47,1.468,CalumetBeach201406051100
Montrose Beach,16.4,3.05,1.459,MontroseBeach201406051100
Calumet Beach,18.5,2.29,1.47,CalumetBeach201406051200
Montrose Beach,16.8,2.61,1.412,MontroseBeach201406051200
Calumet Beach,18.7,1.93,1.396,CalumetBeach201406051300
Montrose Beach,17.1,2.07,1.356,MontroseBeach201406051300
Calumet Beach,19.2,2.11,1.461,CalumetBeach201406051400
Montrose Beach,17.5,1.84,1.352,MontroseBeach201406051400
Ohio Street Beach,16.9,1.6,1.78,OhioStreetBeach201406051200
Calumet Beach,19.5,2.03,1.36,CalumetBeach201406051500
Montrose Beach,17.9,1.72,1.339,MontroseBeach201406051500
Calumet Beach,19.6,1.87,1.324,CalumetBeach201406051600
Montrose Beach,19.3,1.76,1.36,MontroseBeach201406051600
Calumet Beach,19.7,1.81,1.414,CalumetBeach201406051700
Montrose Beach,19.7,1.84,1.386,MontroseBeach201406051700
Calumet Beach,19.6,1.77,1.485,CalumetBeach201406051800
Montrose Beach,20,3.03,1.406,MontroseBeach201406051800
Calumet Beach,19.5,1.69,1.433,CalumetBeach201406051900
Montrose Beach,19.5,2.8,1.37,MontroseBeach201406051900
Calumet Beach,19.4,1.66,1.442,CalumetBeach201406052000
Montrose Beach,18.9,2.36,1.383,MontroseBeach201406052000
Calumet Beach,19.3,1.86,1.501,CalumetBeach201406052100
Montrose Beach,19.1,2.57,1.355,MontroseBeach201406052100
Calumet Beach,19.6,1.86,1.442,CalumetBeach201406052200
Montrose Beach,18.9,1.93,1.37,MontroseBeach201406052200
Calumet Beach,19.5,1.88,1.356,CalumetBeach201406052300
Montrose Beach,18,1.97,1.292,MontroseBeach201406052300
Calumet Beach,19.3,1.78,1.39,CalumetBeach201406062400
Montrose Beach,17.6,1.54,1.345,MontroseBeach201406062400
Calumet Beach,18.9,1.68,1.397,CalumetBeach201406060200
Calumet Beach,19,1.61,1.327,CalumetBeach201406060100
Montrose Beach,17.5,1.43,1.273,MontroseBeach201406060100
Montrose Beach,17.3,1.27,1.327,MontroseBeach201406060200
Calumet Beach,18.7,1.61,1.458,CalumetBeach201406060300
Montrose Beach,16.9,1.03,1.398,MontroseBeach201406060300
Calumet Beach,18.5,1.49,1.436,CalumetBeach201406060400
Montrose Beach,16.8,1.11,1.407,MontroseBeach201406060400
Calumet Beach,18.4,1.51,1.463,CalumetBeach201406060500
Montrose Beach,16.7,1.04,1.387,MontroseBeach201406060500
Calumet Beach,18.3,1.43,1.399,CalumetBeach201406060600
Montrose Beach,16.7,0.96,1.371,MontroseBeach201406060600
Calumet Beach,18.4,1.45,1.368,CalumetBeach201406060700
Montrose Beach,16.7,0.97,1.345,MontroseBeach201406060700
Calumet Beach,18.5,1.39,1.414,CalumetBeach201406060800
Montrose Beach,16.8,0.91,1.371,MontroseBeach201406060800
Calumet Beach,18.7,1.25,1.381,CalumetBeach201406060900
Montrose Beach,16.9,0.79,1.409,MontroseBeach201406060900
Calumet Beach,18.9,1.29,1.443,CalumetBeach201406061000
Montrose Beach,17.1,0.67,1.368,MontroseBeach201406061000
Calumet Beach,19.2,1.24,1.429,CalumetBeach201406061100
Montrose Beach,17.4,0.62,1.35,MontroseBeach201406061100
Calumet Beach,19.6,1.21,1.422,CalumetBeach201406061200
Montrose Beach,17.6,0.65,1.387,MontroseBeach201406061200
Calumet Beach,19.7,1.19,1.511,CalumetBeach201406061300
Montrose Beach,17.8,0.55,1.413,MontroseBeach201406061300
Calumet Beach,20.3,1.19,1.413,CalumetBeach201406061400
Montrose Beach,18,0.5,1.37,MontroseBeach201406061400
Calumet Beach,20.6,1.14,1.416,CalumetBeach201406061500
